puuid,leaguePoints,rank,wins,losses,veteran,inactive,freshBlood,hotStreak,region,league
B3LeP1fhXLpgkaprZU2Ngda93SGOGD7NHMdvE0Izu3u_O1H8VgK7mexLTMDuJ3VzymlSskoh6chY9w,2140,I,153,102,True,False,False,False,kr,challenger
W8J74uHpVp6Omv3mS1MNW7lmtiptZrTRIG36IF1TpqXChygsOEgKxy61H4FUtlXIRWbCkJc6RZ9zsw,2093,I,302,210,True,False,False,True,kr,challenger
3EirdviOjguN0PTsjt88X9SHhMWs7lYVBTwyTcUGSfcZbUr3MJPivFmaFXaNbGt9qg6VVbx1c6YcoA,2092,I,143,95,True,False,False,False,kr,challenger
d7MZYeBTxXWrK11_6g5coLD1lalTKF_n8Lv2wZTJ1qQwd0WnGj24qkuNoWOVmERQ-6si1eSHEIbQTg,2068,I,381,318,True,False,False,True,kr,challenger
SlQZ2zlvU0VGYNvISzXkK8v6bTF_gFr44fnHfMPZH8QaLZYmMo_XjpJ28nMAlKVBWjtIt3xZUSCA-Q,2067,I,163,112,True,False,False,False,kr,challenger
jXPyONsm3CXdOMG3glkc2_NI4Fek7pDovdoDUTsHpoayqu0elbDNyHHr0bGwUf762ib27KRO7ejfnQ,2019,I,392,307,True,False,False,True,kr,challenger
MYIYDC0kngW-0RZTHOhgtpMZFSVVZfUQ_bmVG54mxCOZEkKAM2VuND2FTJ8ebBPKf-3M0C6QSwxM8Q,2006,I,180,131,True,False,False,False,kr,challenger
fDsCcn_BxKmprZX4jmJMOxm02Afsj1L98ytpS24DyhKbi-WYjzz1Vw5x_-PvMCOXD0OMH7W8CTo28Q,1977,I,171,128,True,False,False,False,kr,challenger
2axpVf7tdXqsNA3Hd4GGfoetjCtz2kBIN_rvC49wa-5ERGgREs6cSHeQAYHuqpG5XhCeJO5OBQZdKA,1935,I,372,334,True,False,False,False,kr,challenger
gJPa6_T0CJVxiPIpXnmXEGyqOlwdwSEJj7Q0XDploJ8ojK04_4CENzBEK5BbVbDnAhjXnKQhWdo5gg,1913,I,200,141,True,False,False,False,kr,challenger
dMiJ65ItoKIreFHml48QZIfVJp3HKoZGNc1WMqkB1ab5khspj6ympV35RCpdCnl5ZLHRpPx1Iepb1g,1867,I,147,97,False,False,False,False,kr,challenger
rhSG1Vf06iZMnaFpFPfOLCi4_X-eFcsKxBrkvtVLYsmOurL9RNcGftjBWj_6xWlefG_iSCFT-Y18EQ,1851,I,285,231,True,False,False,False,kr,challenger
Z5P_UkE9qp1qkp4yZEyZb7PPNmKaIQA1nCfBW3zJ5PLi1TzBPX-2pDYtIo1nkJfDwRcn2-ahWNt2vg,1850,I,270,238,True,False,False,True,kr,challenger
9K5xEdZFwSU25sxkA0dsASoI8hhezWqRfCNd6fU0Has7JxLdaEsty74dDfBiSjSwd1tWqAve2df03Q,1847,I,199,171,True,False,False,False,kr,challenger
gteLM-hSDzawmhfnnFrWc-gKrioaYL6aS_BEUDJQFokZ3-4TcfQ2hlO1jOypFz5y2SH6-XR4DidVTQ,1820,I,176,149,True,False,False,False,kr,challenger
WeTpft7aGTwGacwdnj8qVGGF-nG0-zegsSYZfcCTU4EpQVfIJQ5wL600aT0K_QVkQ4smDkHToDAy5Q,1817,I,185,157,True,False,False,True,kr,challenger
UKlUPphO0Qv3kXCqDbFwjTRCq-Ich4QgjE_ggzmCi6R43fHqMXe0UxgONtXxwroBD5zf-jp9-UB8kA,1810,I,191,170,True,False,False,True,kr,challenger
TQtoQNimyx2wz5e450otZGrdYWjaq3CAJFA6zMMN2H4vcdcqSr4SojnrLChcGMfhKFKSa32gcahUZw,1805,I,169,103,True,False,False,False,kr,challenger
siMR6yL5SmeQAgGsHV0UIiAKb4YAq5Iiv0zikxBg33eWaYsU0I4LZwQ7l9pQKsH3tJ9QhnkL-kmzNQ,1804,I,224,184,True,False,False,False,kr,challenger
lwASZkN8k-XnLhz4Saw-cbtG6b_xRPfmQvDLeJi3ZrBskHI3waPKUQabhAw5s7zp-av8tCXkZFoKug,1799,I,118,85,False,False,False,False,kr,challenger
BhrrBalckWAK_WwoectjmvWoLcZropwRkxMnXALM1cbxOClnnfAukdJctXSdhidPiEQmnKUACL_EJw,1791,I,325,253,True,False,False,False,kr,challenger
MMgJHk7bqASlptEaYAZd6QZocCTvAWpMJKfs1acNe2fG47sVgiuixtMYio1UOBSS6oofN4F9Nhpk7g,1786,I,172,145,True,False,False,True,kr,challenger
RGFWpD0FFfNWxKeecZT74t13s4fQFzXIArdstSRaWiXKkQOAhGhuvVQxx_Okzc-ei65uqmZN7u8DoA,1785,I,266,231,True,False,False,False,kr,challenger
NMt9Dn_mubA9mhDlgilFksYc39acrczVkCfSgNxJDRcnFQFRW_h8tiY5L2lHmKkE_8gBOY_gYegNaQ,1772,I,158,117,True,False,False,True,kr,challenger
9az4FLxuNzJAJTi2nG0tuCLsM-qYHkq_sjd53IWrSud-CdLbxlJXhuYwNa1lkLgfHBLTyrvtGZNurA,1770,I,298,231,True,False,False,False,kr,challenger
Uj5MGqIbeds05JAIQamk-eDMunSvgmds5y_1lvw7OMfnWJP3oPSOaDY3uInOs-13heoaldzVJyrFKg,1765,I,132,108,False,False,False,False,kr,challenger
RzaCipA1WpNfFzWD3QkbLJBSRo3ZnR8L99i9rXNa9MnK-miD61JhmwltjlWRpDMw-fS_G29lWO5iaA,1760,I,163,115,True,False,False,False,kr,challenger
K69g1DGIGd2dSaN7hUr4cb6RiLmUV3RREtJTvIOjkK83wgyVlPTGnW3kryj-7Y25pM2fIM0SQVqHdg,1748,I,249,204,True,False,False,False,kr,challenger
MTxV6nhSnHp2rFhlBNK4Ck71ySQrZ-qqimmbeWXKPr_OrN0JnWdXfUhVo-9m_UohIiKNR7tp9C17PA,1739,I,156,138,True,False,False,True,kr,challenger
PjL_ZhX4TjehZRTW0n_u5IJxrBDs6Xk9Q7hDM2uA7AX4JaeANA3FGGCR7jlKpYaS2ivhziQ4L559Mw,1736,I,293,239,True,False,False,False,kr,challenger
VvmspU1IsaYgbZEBzAaySGo6PNwYVAhtUMkeuVfUEeqPkYvixlcW4XLOqZDZPvUSltyLDkA-s2tNWA,1736,I,262,230,True,False,False,False,kr,challenger
0GUgikcn33jJ0M_tw4jnKDFDpLzeIOi10YfmWDExY5XBMe5A7NdbDiZiYhNbMeMyWliIpPkDKEdMUA,1733,I,364,292,True,False,False,False,kr,challenger
